STATION_ID,STATION NAME,CTRY,LAT,LON
03002099999,BALTASOUND NO.2,UK,60.75,-0.85
03002399999,SAXA VORD,UK,60.833,-0.833
03003099999,SUMBURGH,UK,59.879,-1.296
03005099999,LERWICK,UK,60.133,-1.183
03008099999,FAIR ISLE,UK,59.533,-1.633
03017099999,KIRKWALL,UK,58.958,-2.905
03018099999,WOODVALE,UK,53.582,-3.056
03022099999,BENBECULA,UK,57.481,-7.363
03023099999,SOUTH UIST RANGE,UK,57.333,-7.367
03026099999,STORNOWAY,UK,58.216,-6.331
03031099999,LOCH GLASCARNOCH,UK,57.717,-4.883
03034099999,AULTBEA NO2,UK,57.867,-5.633
03039099999,BEALACH NA BA NO2,UK,57.417,-5.683
03041099999,AONACH MOR,UK,56.817,-4.967
03044099999,ALTNAHARRA NO2,UK,58.283,-4.433
03047099999,TULLOCH BRIDGE,UK,56.867,-4.7
03056099999,DALWHINNIE,UK,56.933,-4.233
03059099999,INVERNESS,UK,57.543,-4.048
03062099999,TAIN RANGE (SAWS),UK,57.817,-3.967
03063099999,AVIEMORE,UK,57.2,-3.833
06601099999,BASEL-BINNINGEN,CH,47.55,7.583
06602099999,DELEMONT,CH,47.35,7.35
06604099999,NEUCHATEL (AUT),CH,47.0,6.95
06604599999,LES EPLATURES,CH,47.084,6.793
06605099999,CHASSERAL,CH,47.133,7.067
06606099999,CRESSIER,CH,47.05,7.067
06608099999,CHAUMONT,CH,47.05,6.983
06609099999,LE MOLESON,CH,46.55,7.017
06609999999,DUBENDORF,CH,47.399,8.648
06610099999,PAYERNE,CH,46.817,6.95
06613099999,FRUTIGEN,CH,46.6,7.65
06614099999,MEIRINGEN,CH,46.743,8.11
06616099999,FAHY-BONCOURT,CH,47.433,6.95
06617099999,LA BREVINE,CH,46.983,6.617
06618099999,MATHOD,CH,46.733,6.567
06619099999,BULLET-LA FRETAZ,CH,46.833,6.583
06620099999,SCHAFFHAUSEN,CH,47.683,8.617
06621099999,GUETTINGEN,CH,47.6,9.283
06623099999,SALEN-REUTENEN,CH,47.65,9.017
06624099999,HALLAU,CH,47.683,8.467
07002099999,BOULOGNE,FR,50.733,1.6
07003099999,LE TOUQUET PARIS PLAGE / LE TOUQUET ELIZABETH II,FR,50.515,1.627
07005099999,ABBEVILLE,FR,50.143,1.832
07009099999,CALAIS/DUNKERQUE,FR,50.967,1.95
07010099999,DUNKERQUE,FR,51.05,2.333
07015099999,LILLE LESQUIN,FR,50.562,3.089
07019099999,BARFLEUR (POINT),FR,49.7,-1.267
07020099999,LA HAGUE,FR,49.717,-1.933
07022099999,VIGITE DU HAUMET,FR,49.65,-1.5
07024099999,MAUPERTUS / CHERBOURG MANCHE,FR,49.65,-1.47
07027099999,CAEN CARPIQUET,FR,49.173,-0.45
07028099999,LE HAVRE OCTEVILLE,FR,49.534,0.088
07029099999,PORT EN BESSIN,FR,49.35,-0.767
07031099999,ST GATIEN / DEAUVILLE NORMANDIE,FR,49.365,0.154
07034099999,CARTERET,FR,49.367,-1.8
07037099999,ROUEN VALLEE DE SEINE,FR,49.384,1.175
07038034061,FAUVILLE,FR,49.029,1.22
07040099999,DIEPPE,FR,49.933,1.1
07046099999,LE HAVRE-OCTEVILLE,FR,49.533,0.083
07053099999,CORMEILLES,FR,49.083,2.033
10000199999,NIEDERRHEIN,GM,51.602,6.142
10018099999,WESTERLAND SYLT,GM,54.913,8.34
10033099999,MEIERWIK,GM,54.833,9.5
10037099999,SCHLESWIG,GM,54.459,9.516
10038099999,HOHN,GM,54.312,9.538
10046099999,KIEL/HOLTENAU(GNVY),GM,54.383,10.15
10046599999,KIEL HOLTENAU,GM,54.38,10.145
10126099999,WITTMUNDHAFEN,GM,53.548,7.667
10136099999,NORDHOLZ,GM,53.768,8.659
10147099999,HAMBURG,GM,53.63,9.988
10149099999,HAMBURG FINKENWERDER,GM,53.536,9.837
10156099999,LUBECK BLANKENSEE,GM,53.805,10.719
10172099999,LAAGE,GM,53.918,12.278
10193599999,HERINGSDORF,GM,53.879,14.152
10200099999,EMDEN,GM,53.391,7.227
10224099999,BREMEN,GM,53.048,8.787
10238099999,BERGEN (MIL),GM,52.817,9.933
10246099999,FASSBERG,GM,52.919,10.198
10281099999,NEUBRANDENBURG,GM,53.602,13.306
10304099999,MEPPEN (MIL),GM,52.717,7.317
11001099999,WOLFSEGG,AU,48.1,13.667
11008099999,ROHRBACH,AU,48.567,14.0
11010099999,LINZ,AU,48.233,14.188
11012099999,KREMSMUENSTER,AU,48.05,14.133
11016099999,FREISTADT-FLUGFELD,AU,48.517,14.417
11016199999,WIENER NEUSTADT EAST,AU,47.843,16.26
11016299999,LUGPLATZ VOSLAU,AU,47.967,16.267
11016599999,WIENER NEUSTADT,AU,47.85,16.25
11018099999,AMSTETTEN,AU,48.1,14.9
11019099999,ALLENTSTEIG,AU,48.683,15.367
11020099999,STIFT ZWETTL,AU,48.617,15.2
11021099999,LITSCHAU,AU,48.95,15.033
